author,ai_lines,total_lines,is_ai_commit,commit_id,date,message
yooocen,0,1288,true,c728122b1ddc702b904d7b3e26680cb669087223,2026-05-13 23:03:11,feat: add Claude Code hook support for AI code tracking
yooocen,4,55,true,590f0cf98641f759cdd900462e31d412b7e4dfdb,2026-05-14 09:19:36,feat: Windows path compatibility for Claude Code hook
yooocen,0,162,true,f433959f47db43a53cc9198cc8224c8b39ddc01d,2026-05-14 09:19:45,feat: cherry-pick AI lines inheritance from source commit
yooocen,0,17,true,f7a9d040914b398e54865aeb158f62fbd4235558,2026-05-14 09:20:05,fix: add BOM to CSV output for Excel compatibility
yooocen,70,173,true,b6d9e478824ad43c4f67d54b9ded5d74317e3651,2026-05-14 09:21:30,feat: add slash commands for opencode and Claude Code
yooocen,0,26,true,5f36789efd6b7c1356f6f136bdbe818fcce82591,2026-05-14 09:21:39,"docs: update skill docs, AGENTS.md rule, and project config"
yooocen,120,310,true,167b5888c100d70729e8f7323e10e7356117b1fc,2026-05-14 10:08:32,feat: track shell command file changes via Bash tool hook
yooocen,157,221,true,5746fcb964af9d9c80c614ee4e27c5aca2c07376,2026-05-14 10:39:19,feat: tool-aware install — auto-detect opencode/codeagent vs Claude Code
yooocen,91,102,true,fdae48b095627ff434f14e021cb2eaf153af72ec,2026-05-14 10:44:01,fix: Bash hook uses content hashes to detect cp overwrites
yooocen,52,72,true,0eb6db75ea309d429e33a453c7f7bf7c3fe44871,2026-05-14 14:39:04,fix: track AI lines for new file creation via Write tool
yooocen,20,21,true,6777a4028b2da630197542738956608e8d1e7fb2,2026-05-14 14:46:43,fix: replace pending lines on re-edit to avoid stale residue
yooocen,65,122,true,3dc711774655d434ed120455a9654985fd00a6af,2026-05-14 14:52:53,fix: keep original snapshot across re-edits and add multi-edit tests
yooocen,89,127,true,4c5d61c1a6846f46a1bd633bbfdf8ac7308f063a,2026-05-14 14:58:10,fix: Claude Code hook replaces pending lines on re-edit
yooocen,56,66,true,1e0ae2985ac3396a3961ca3eb491134ca803788e,2026-05-14 15:05:59,fix: use Myers diff algorithm for accurate line tracking
yooocen,16,19,true,f3ad9ad16e6a991a0153584369e132d56c18c60b,2026-05-14 15:14:55,fix: clean original snapshots after each commit
yooocen,39,63,true,72b50ba75fb940031af2cf35bb2e42001b0bec9f,2026-05-14 15:23:44,docs: add README with project overview and snapshot explanation
yooocen,22,29,true,3ebcbc956d44e56d405093cada45d70b095ba267,2026-05-14 19:37:19,fix: exclude blank lines from total_lines when count_blank_lines is false
yooocen,7,10,true,039b8da835963d6ff3d02d40f3b5d5274efd8f14,2026-05-14 19:41:27,fix: allow duplicate lines within same batch in appendPendingLines
yooocen,161,161,true,6fd88135de48f18db079532ef6ad638e672b5ecc,2026-05-14 19:46:16,fix: sync installed lib with latest source fixes
yooocen,12,12,true,9212d31a4a385f88138f67e01aa1ef1402a676d8,2026-05-14 20:25:40,fix: sync opencode plugin to installed lib
yooocen,31,31,true,312d83db09d21364b21743ca6e4c7eb9ebbe0202,2026-05-14 20:39:08,docs: add troubleshooting guide for AI ratio < 100%
yooocen,102,102,true,126ad0dcc0022166b8179b63125f069811c902c6,2026-05-14 21:22:07,fix: auto-detect git path on Windows to resolve PATH issues
yooocen,3,4,true,c76810638a18e57a6609db011c13383316e6203a,2026-05-14 22:06:19,fix: use fileURLToPath instead of URL.pathname for Windows compat
yooocen,208,217,true,0a7c52b8462f15db7ce0bbe5c9d528b31c83d664,2026-05-14 22:22:00,feat: add uninstall mode and document concurrency limitation
yooocen,70,70,true,ad4b41e3038c5cb455bccf6b507489715140695a,2026-05-14 22:41:20,docs: add execution flow diagram and log troubleshooting guide
yooocen,10,10,true,eea366f1b72cc9311462d4504d25f92662260af4,2026-05-15 09:08:57,fix: skip merge commits in post-commit tracking
yooocen,51,54,true,f9d0479f03e6f039d1d86eefce6611990404510d,2026-05-15 09:49:36,feat: respect enabled and auto_tracking_commit config in git hooks
yooocen,22,28,true,ebe6dd88c1ebcdaf5de34295dc6a0c4c06c72d3f,2026-05-15 09:58:03,refactor: make config.json local-only and implement all config options
yooocen,18,18,true,a4b88ba059fc1e7ab8833650c6902c276f3bee5d,2026-05-15 10:00:45,docs: add config.json options reference to README
yooocen,146,146,true,9944d68e2850952cdef4748b35f1881af015f70e,2026-05-15 10:04:20,"refactor: hardcode ignore list, remove from config"
yooocen,19,19,true,950b29124b2c5ed5095c25b6bb6f090b7feb6a9a,2026-05-15 10:08:21,docs: rewrite data storage section with lifecycle explanation
